video_id,title,publishedAt,duration,hours,minutes,seconds,total_seconds
3nn_skHgkqI,Has Youtube Met Its Match?????,2014-01-12T01:25:53Z,PT2M44S,0,2,44,164
A8IkOqb_7Yg,How Much Money Does Pewdiepie Make????? (Updated 2015),2014-01-11T20:31:34Z,PT4M10S,0,4,10,250
hHl_YMivv3c,"Battle Pirates, my base.",2013-12-31T14:48:55Z,PT2M56S,0,2,56,176
7mLSbgyjM0g,"Battle Pirates, Hellstrike Base attack.",2013-12-29T22:22:57Z,PT2M52S,0,2,52,172
TGKkMl17Htg,"Battle Pirates, Unstoppable Ship!",2013-12-29T21:05:08Z,PT2M13S,0,2,13,133
Qw3eFnsSdlQ,Best Hellstrike Build???? (Battle Pirates),2013-12-29T17:10:57Z,PT1M37S,0,1,37,97
KcNCJ1mgt14,"Marauder Builds, Battle Pirates In Depth Builds.",2013-12-29T16:20:05Z,PT3M6S,0,3,6,186
A4lp4FRCo6o,"Battle pirates, How To Auto Lvl 40 Salvages.",2013-12-29T00:32:15Z,PT1M18S,0,1,18,78
WYKZz3Zygdc,Hellstrikes vs 7 halos!,2013-12-27T00:27:31Z,PT1M36S,0,1,36,96
5U2fmvh9_Is,"Battle Pirates, Hellstrike vs Epic Base!",2013-12-24T00:00:20Z,PT58S,0,0,58,58
xvIpibLjs5k,"Battle Pirates, Another Hellstrike Fail.",2013-12-18T23:47:57Z,PT57S,0,0,57,57
jlpAON0ePME,Battle pirates Hellstrike fail!,2013-12-18T22:31:02Z,PT47S,0,0,47,47
sfp0a6zDoNQ,"Battle Pirates, lvl 66 vs Missile Cruiser x Fleet!",2013-12-17T18:56:41Z,PT1M24S,0,1,24,84
RaDRWNz3Al4,"Battle Pirates, Hellstrike Too Overpowered????",2013-12-14T15:58:11Z,PT2M40S,0,2,40,160
Ms9MGkEm4mg,"Battle Pirates, All Sentinel Base.",2013-12-05T02:24:33Z,PT1M12S,0,1,12,72
90wWStXJX5c,"Battle pirates, Lvl 58 Mercury Base Attack!",2013-12-05T01:06:00Z,PT1M16S,0,1,16,76
ruSVy-u2DzM,"Battle Pirates, Stingray vs Mercury Epic Battle!",2013-12-05T00:00:24Z,PT1M6S,0,1,6,66
